,country,study,doi,subregion,start_year,end_year,class_consumed,ab_consumed,amt_consumed,percent_isolates_resistant,notes,pathogen,ab_for_resistance,class_for_resistance,ab_setting,pathogen_setting,units,Region,income_group
57,Austria, Antibiotic selection pressure and resistance in Streptococcus pneumoniae and Streptococcus pyogenes,https://doi.org/10.3201/eid1003.030252,Austria,1994,2000,"Macrolides, Lincosamides and Streptogramins",Macrolides ,3,11,DDD/1000 inhabitants/day,S. pneumoniae,Macrolides,"Macrolides, Lincosamides and Streptogramins",community,community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
58,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",3,9,DDD/1000 inhabitants/day,E. coli,Trimethoprim,Sulfonamide and Trimethoprim,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
59,Austria,"Positive Association between the Use of Quinolones in Food Animals and the Prevalence of Fluoroquinolone Resistance in E. coli and K. pneumoniae, A. baumannii and P. aeruginosa: A Global Ecological Analysis",https://doi.org/10.3390/antibiotics10101193,Austria,2017,2017,Quinolones,Quinolones,1,9,DDD/1000/inhabs/day -- converted from DDD/1000 inhabitants/year,A. baumannii,Fluoroquinolone,Quinolones,community,community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
60,Austria,Antibiotic exposure and other risk factors for antimicrobial resistance in nasal commensal Staphylococcus aureus: An ecological study in 8 European countries,https://doi.org/10.1371/journal.pone.0135094,Austria,2010,2011,Quinolones,Quinolones,NA,2,Only relaying %resistance no ddd/patient/pop or any dosing per country ,S. aureus,NA,Quinolones,hospital,Community,NA,Europe & Central Asia,High income
61,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Sulfonamide and Trimethoprim,Sulfonamide and Trimethoprim,1,17,DDD/1000 inhabitants/day,E. coli,Ampicillin,"Beta lactam antibacterials, penicillins",community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
62,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Cephalosporin (undefined and 1st/2nd gen),Cephalosporin (undefined and 1st/2nd gen),1,9,DDD/1000 inhabitants/day,E. coli,Trimethoprim,Sulfonamide and Trimethoprim,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
63,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Sulfonamide and Trimethoprim,Sulfonamide and Trimethoprim,1,9,DDD/1000 inhabitants/day,E. coli,Trimethoprim,Sulfonamide and Trimethoprim,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
64,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Quinolones,Quinolones,1,0,DDD/1000 inhabitants/day,E. coli,Nitrofurantoin,Nitrofuran derivatives,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
65,Austria,Antimicrobial drug use and resistance in Europe,10.3201/eid1411.070467,Austria,2004,2004,total abx,total abx,12,5,"DDD/1000 inhabitants/ day, DDD in 2004, resistance in 2005",S. pneumoniae,Penicillin,"Beta lactam antibacterials, penicillins",hospital + community,Community + Hospital,DDD/1000 inhabitants/day,Europe & Central Asia,High income
66,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Cephalosporin (undefined and 1st/2nd gen),Cephalosporin (undefined and 1st/2nd gen),1,25,DDD/1000 inhabitants/day,E. coli,Sulfamethoxaole,Sulfamethoxaole,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
67,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Cephalosporin (undefined and 1st/2nd gen),Cephalosporin (undefined and 1st/2nd gen),1,0,DDD/1000 inhabitants/day,E. coli,Gentamicin,Aminoglycosides,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
68,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Quinolones,Quinolones,1,9,DDD/1000 inhabitants/day,E. coli,Trimethoprim,Sulfonamide and Trimethoprim,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
69,Austria,The use and resistance to antibiotics in the community,10.1016/s0924-8579(02)00394-1,Austria,1998,1998,NA,total abx,13,12,"DDD/1000 inhabitants/day, resistance in 1997-1999",S. pneumoniae,Penicillin,"Beta lactam antibacterials, penicillins",community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
70,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Quinolones,Quinolones,1,9,DDD/1000 inhabitants/day,E. coli,Trimethoprim-Sulfamethoxazole,Sulfonamide and Trimethoprim,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
71,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",3,0,DDD/1000 inhabitants/day,E. coli,Cefadroxil,Cephalosporin (undefined and 1st/2nd gen),community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
