"Consumption","Resistance","Pathogen","DOI","Antibiotic","Weight","ISO3","PC1","PC2","PC3","GDP","Year"
135,0,"K. pneumoniae","https://doi.org/10.3390/antibiotics10101221","J01D",1,"PER",-3.23962739933198,-2.01074434903803,0.872680296672333,14920.10368,2016
99,2,"K. pneumoniae","https://doi.org/10.3390/antibiotics10101221","J01D",1,"PER",-3.16260948265197,-2.15177879548844,0.866355276731284,15072.2039,2017
92,26,"K. pneumoniae","https://doi.org/10.3390/antibiotics10101221","J01D",1,"PER",-3.0671221059663,-2.33871345707949,0.859658142212516,15388.99832,2018
60,0,"K. pneumoniae","https://doi.org/10.3390/antibiotics10101221","J01D",1,"PER",-3.32052029376411,-1.8586284082814,0.878806480559941,14545.38114,2015
70,0,"K. pneumoniae","https://doi.org/10.3390/antibiotics10101221","J01D",1,"PER",-3.23962739933198,-2.01074434903803,0.872680296672333,14920.10368,2016
78,61,"Enterobacter spp.","https://doi.org/10.3390/antibiotics10101221","J01D",1,"PER",-3.23962739933198,-2.01074434903803,0.872680296672333,14920.10368,2016
8,55,"Enterobacter spp.","https://doi.org/10.3390/antibiotics10101221","J01D",1,"PER",-3.0671221059663,-2.33871345707949,0.859658142212516,15388.99832,2018
44,54,"Enterobacter spp.","https://doi.org/10.3390/antibiotics10101221","J01D",1,"PER",-3.32052029376411,-1.8586284082814,0.878806480559941,14545.38114,2015
18,86,"P. aeruginosa","https://doi.org/10.1093/jacamr/dlaa050","J01C",1,"QAT",-1.44226178515687,-2.54909557291002,0.89690668760277,120054.4087,2016
32,80,"P. aeruginosa","https://doi.org/10.1093/jacamr/dlaa050","J01C",1,"QAT",-1.40438759293704,-2.81011795256422,0.794813866852209,115064.9437,2017
10,91,"P. aeruginosa","https://doi.org/10.1093/jacamr/dlaa050","J01M",1,"QAT",-1.45631450417932,-2.41722194594485,0.939750647698383,123070.8879,2015
35,90,"P. aeruginosa","https://doi.org/10.1093/jacamr/dlaa050","J01C",1,"QAT",-1.45631450417932,-2.41722194594485,0.939750647698383,123070.8879,2015
5,88,"P. aeruginosa","https://doi.org/10.1093/jacamr/dlaa050","J01M",1,"QAT",-1.40438759293704,-2.81011795256422,0.794813866852209,115064.9437,2017
36,89,"P. aeruginosa","https://doi.org/10.1093/jacamr/dlaa050","J01D",1,"QAT",-1.45631450417932,-2.41722194594485,0.939750647698383,123070.8879,2015
34,89,"P. aeruginosa","https://doi.org/10.1093/jacamr/dlaa050","J01D",1,"QAT",-1.44226178515687,-2.54909557291002,0.89690668760277,120054.4087,2016
8,89,"P. aeruginosa","https://doi.org/10.1093/jacamr/dlaa050","J01M",1,"QAT",-1.44226178515687,-2.54909557291002,0.89690668760277,120054.4087,2016
3,58,"P. aeruginosa","https://doi.org/10.1093/jacamr/dlaa050","J01G",1,"QAT",-1.45631450417932,-2.41722194594485,0.939750647698383,123070.8879,2015
4,58,"P. aeruginosa","https://doi.org/10.1093/jacamr/dlaa050","J01G",1,"QAT",-1.44226178515687,-2.54909557291002,0.89690668760277,120054.4087,2016
2,47,"P. aeruginosa","https://doi.org/10.1093/jacamr/dlaa050","J01G",1,"QAT",-1.40438759293704,-2.81011795256422,0.794813866852209,115064.9437,2017
31,86,"P. aeruginosa","https://doi.org/10.1093/jacamr/dlaa050","J01D",1,"QAT",-1.40438759293704,-2.81011795256422,0.794813866852209,115064.9437,2017
126,7,"S. aureus","https://doi.org/10.1186/s12941-017-0251-8","J01C",1,"ROU",0.340094279447238,-7.90549720794444,0.826198361627398,26916.18205,2013
193,6,"Acinetobacter spp.","https://doi.org/10.1186/s12941-017-0251-8","J01D",1,"ROU",0.0408800020403497,-8.12518364540175,0.68789197313731,26741.87257,2012
69,7,"S. aureus","https://doi.org/10.1186/s12941-017-0251-8","J01C",1,"ROU",0.0408800020403497,-8.12518364540175,0.68789197313731,26741.87257,2012
247,6,"Acinetobacter spp.","https://doi.org/10.1186/s12941-017-0251-8","J01D",1,"ROU",0.340094279447238,-7.90549720794444,0.826198361627398,26916.18205,2013
193,1,"P. aeruginosa","https://doi.org/10.1186/s12941-017-0251-8","J01D",1,"ROU",0.0408800020403497,-8.12518364540175,0.68789197313731,26741.87257,2012
247,4,"P. aeruginosa","https://doi.org/10.1186/s12941-017-0251-8","J01D",1,"ROU",0.340094279447238,-7.90549720794444,0.826198361627398,26916.18205,2013
179,71,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
178,68,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
160,63,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
502,74,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.614576032373016,-5.939757566807,1.67325857990702,35000.277,2008
171,68,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
157,72,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
483,74,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
182,64,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
146,74,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
547,64,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
463,76,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
464,66,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
566,73,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
13,17,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.959523691857287,-6.67111398694461,1.61028631379155,37298.59095,2010
167,69,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
164,69,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
461,71,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
57,12,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
155,77,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
147,77,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
24,73,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
177,73,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
467,75,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.959523691857287,-6.67111398694461,1.61028631379155,37298.59095,2010
177,76,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
22,15,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
55,17,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
459,64,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
466,67,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
448,79,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.959523691857287,-6.67111398694461,1.61028631379155,37298.59095,2010
189,79,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
541,73,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
472,74,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.959523691857287,-6.67111398694461,1.61028631379155,37298.59095,2010
149,71,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
58,15,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
168,63,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
159,78,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
142,76,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
106,20,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.959523691857287,-6.67111398694461,1.61028631379155,37298.59095,2010
172,69,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
555,72,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
70,9,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
152,73,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
59,16,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
59,14,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
533,71,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
60,7,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
476,80,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
460,77,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
475,78,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.75920846662844,-6.36987737664224,1.61026241419768,35096.62191,2009
28,71,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
25,13,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
69,2,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
71,8,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
58,12,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
476,76,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.614576032373016,-5.939757566807,1.67325857990702,35000.277,2008
465,76,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.614576032373016,-5.939757566807,1.67325857990702,35000.277,2008
