Year,Country,ISO3,Antimicrobial,DDD,Sector
2018,Belarus,BLR,Fluoroquinolones,11711219.68,Hospital/Retail
2018,Belarus,BLR,Glycopeptides,116844.04,Hospital/Retail
2018,Belarus,BLR,Glycylcyclines,6150.00,Hospital/Retail
2018,Belarus,BLR,Lipopeptides,2448.21,Hospital/Retail
2018,Belarus,BLR,Macrolides,11215192.65,Hospital/Retail
2018,Belarus,BLR,Monobactams,0.00,Hospital/Retail
2018,Belarus,BLR,"Narrow spectrum penicillins",64604.56,Hospital/Retail
2018,Belarus,BLR,Oxazolidinones,406525.64,Hospital/Retail
2018,Belarus,BLR,Phosphonics,0.00,Hospital/Retail
2018,Belarus,BLR,Rifampicin,366029.95,Hospital/Retail
2018,Belarus,BLR,Tetracyclines,9479145.24,Hospital/Retail
2018,Belarus,BLR,Trimethoprim,481540.85,Hospital/Retail
2018,Belgium,BEL,Aminoglycosides,182767.04,Hospital/Retail
2018,Belgium,BEL,"Broad spectrum penicillins",57543055.85,Hospital/Retail
2018,Belgium,BEL,Carbapenems,242636.69,Hospital/Retail
2018,Belgium,BEL,Cephalosporins,8214221.21,Hospital/Retail
2018,Belgium,BEL,Chloramphenicols,48025.74,Hospital/Retail
2018,Belgium,BEL,Fluoroquinolones,9351829.00,Hospital/Retail
2018,Belgium,BEL,Glycopeptides,183015.35,Hospital/Retail
2018,Belgium,BEL,Glycylcyclines,10739.00,Hospital/Retail
2018,Belgium,BEL,Macrolides,17298080.09,Hospital/Retail
2018,Belgium,BEL,Monobactams,124752.23,Hospital/Retail
2018,Belgium,BEL,"Narrow spectrum penicillins",1914408.64,Hospital/Retail
2018,Belgium,BEL,Others,0.00,Hospital/Retail
2018,Belgium,BEL,Oxazolidinones,31061.75,Hospital/Retail
2018,Belgium,BEL,Phosphonics,0.00,Hospital/Retail
2018,Belgium,BEL,Rifampicin,21239.17,Hospital/Retail
2018,Belgium,BEL,Tetracyclines,7546330.47,Hospital/Retail
2018,Belgium,BEL,Trimethoprim,1360345.07,Hospital/Retail
2018,"Brazil ",BRA,Aminoglycosides,9155599.42,Hospital/Retail
2018,"Brazil ",BRA,"Broad spectrum penicillins",410367994.80,Hospital/Retail
2018,"Brazil ",BRA,Carbapenems,4186610.15,Hospital/Retail
2018,"Brazil ",BRA,Cephalosporins,129109905.82,Hospital/Retail
2018,"Brazil ",BRA,Chloramphenicols,220144.98,Hospital/Retail
2018,"Brazil ",BRA,Fluoroquinolones,260943961.60,Hospital/Retail
2018,"Brazil ",BRA,Glycopeptides,2808084.92,Hospital/Retail
2018,"Brazil ",BRA,Glycylcyclines,204747.54,Hospital/Retail
2018,"Brazil ",BRA,Lipopeptides,448046.13,Hospital/Retail
2018,"Brazil ",BRA,Macrolides,233602617.00,Hospital/Retail
2018,"Brazil ",BRA,Monobactams,9845.07,Hospital/Retail
2018,"Brazil ",BRA,"Narrow spectrum penicillins",9824317.09,Hospital/Retail
2018,"Brazil ",BRA,Oxazolidinones,326983.97,Hospital/Retail
2018,"Brazil ",BRA,Rifampicin,517255.96,Hospital/Retail
2018,"Brazil ",BRA,Tetracyclines,85778731.30,Hospital/Retail
2018,"Brazil ",BRA,Trimethoprim,46415144.84,Hospital/Retail
2018,Bulgaria,BGR,Aminoglycosides,1074151.34,Hospital/Retail
2018,Bulgaria,BGR,"Broad spectrum penicillins",17477083.75,Hospital/Retail
2018,Bulgaria,BGR,Carbapenems,113822.32,Hospital/Retail
2018,Bulgaria,BGR,Cephalosporins,16336632.22,Hospital/Retail
2018,Bulgaria,BGR,Chloramphenicols,82518.33,Hospital/Retail
2018,Bulgaria,BGR,Fluoroquinolones,8329874.40,Hospital/Retail
2018,Bulgaria,BGR,Glycopeptides,70185.40,Hospital/Retail
2018,Bulgaria,BGR,Glycylcyclines,1069.00,Hospital/Retail
2018,Bulgaria,BGR,Macrolides,12287899.67,Hospital/Retail
2018,Bulgaria,BGR,"Narrow spectrum penicillins",350785.60,Hospital/Retail
2018,Bulgaria,BGR,Oxazolidinones,5944.50,Hospital/Retail
2018,Bulgaria,BGR,Rifampicin,316200.01,Hospital/Retail
2018,Bulgaria,BGR,Tetracyclines,4499045.85,Hospital/Retail
2018,Bulgaria,BGR,Trimethoprim,2260700.46,Hospital/Retail
2018,Canada,CAN,Aminoglycosides,990414.63,Hospital/Retail
2018,Canada,CAN,"Broad spectrum penicillins",71491986.52,Hospital/Retail
2018,Canada,CAN,Carbapenems,904213.47,Hospital/Retail
2018,Canada,CAN,Cephalosporins,29701423.07,Hospital/Retail
2018,Canada,CAN,Chloramphenicols,1386.67,Hospital/Retail
2018,Canada,CAN,Fluoroquinolones,22935043.72,Hospital/Retail
2018,Canada,CAN,Glycopeptides,587445.63,Hospital/Retail
2018,Canada,CAN,Glycylcyclines,8830.00,Hospital/Retail
2018,Canada,CAN,Lipopeptides,162403.56,Hospital/Retail
2018,Canada,CAN,Macrolides,36827077.98,Hospital/Retail
2018,Canada,CAN,Monobactams,5203.40,Hospital/Retail
2018,Canada,CAN,"Narrow spectrum penicillins",5306919.42,Hospital/Retail
2018,Canada,CAN,Others,114068.76,Hospital/Retail
2018,Canada,CAN,Oxazolidinones,66766.41,Hospital/Retail
2018,Canada,CAN,Phosphonics,0.00,Hospital/Retail
2018,Canada,CAN,Rifampicin,155600.00,Hospital/Retail
2018,Canada,CAN,Tetracyclines,45364623.48,Hospital/Retail
2018,Canada,CAN,Trimethoprim,22033505.98,Hospital/Retail
2018,"Central America",CAM,Aminoglycosides,779277.32,Retail
2018,"Central America",CAM,"Broad spectrum penicillins",27689204.34,Retail
2018,"Central America",CAM,Carbapenems,77849.37,Retail
2018,"Central America",CAM,Cephalosporins,6885022.74,Retail
