"Pathogen","ATC.Class","Total.Isolates","Percent.Resistant.Isolates","Antibiotic.Consumption","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","GDP"
"Morganella spp.","J01E",682,36.0543396226415,0.545132075471698,-0.579795022059793,-6.40946406370467,0.769688476394246,-0.990624810557851,-0.557050044197998,-0.114528017490736,0.717874540850164,0.026019472134173,-0.0362679219722687,0.141391695254806,39738.7623986471
"Morganella spp.","J01G",2899,6.13438358333333,0.120204545454545,-0.402566160724891,-6.60350141692252,0.812741431487197,-1.01166760430079,-0.559463650801359,-0.0243053185793262,0.744969126576645,0.0618059505396424,0.09780706142983,0.0207553739843835,38218.511411988
"Morganella spp.","J01M",2899,29.8034181931818,1.918125,-0.402566160724891,-6.60350141692252,0.812741431487197,-1.01166760430079,-0.559463650801359,-0.0243053185793262,0.744969126576645,0.0618059505396424,0.09780706142983,0.0207553739843835,38218.511411988
"P. aeruginosa","J01C",201608,19.1781138003314,7.54707134894091,-0.276652516454615,-6.72571708562154,0.914536297474098,-1.15551923021741,-0.342640198807633,0.187559979130743,0.335475592175881,0.174433005221758,-0.032247250407381,0.00883971781331496,40871.1263998318
"P. aeruginosa","J01D",435396,36.599122666123,2.91596602658789,-0.0803140421884259,-7.15290802248947,0.901115458213006,-1.35189991347423,-0.249647077717289,0.242137319113529,0.274875314529141,0.189207404582207,-0.032517948284919,-0.00859400138772821,42427.5072660272
"P. aeruginosa","J01G",252632,10.6352671024073,0.109352173913043,-0.258242546127678,-6.76764250109531,0.904273664460387,-1.16599638398748,-0.345532912865885,0.187889064748457,0.305678845641533,0.174861270022934,-0.0416053581545022,0.00690023788496732,41079.226261709
"P. aeruginosa","J01M",252802,30.4707345047699,1.85079565217391,-0.258865958899612,-6.76815867958419,0.903725213189922,-1.16611378632386,-0.346553874086014,0.187403866395528,0.305229135340423,0.174823717331168,-0.0411667109366442,0.00628956485630835,41083.1813030914
"Proteus spp.","J01A",4,0,1.36566666666667,0.630737966586083,-7.69789685963991,0.958558291754776,1.77052926409433,-1.03061823249489,0.613447988513406,-0.699158951124439,-0.158626884608125,0.903052869826046,-1.94349135090176,45226.296315
"Proteus spp.","J01C",4,50,7.693,0.630737966586083,-7.69789685963991,0.958558291754776,1.77052926409433,-1.03061823249489,0.613447988513406,-0.699158951124439,-0.158626884608125,0.903052869826046,-1.94349135090176,45226.296315
"Proteus spp.","J01D",4,0,2.45366666666667,0.630737966586083,-7.69789685963991,0.958558291754776,1.77052926409433,-1.03061823249489,0.613447988513406,-0.699158951124439,-0.158626884608125,0.903052869826046,-1.94349135090176,45226.296315
"Proteus spp.","J01E",4,16.6666666666667,0.286666666666667,0.630737966586083,-7.69789685963991,0.958558291754776,1.77052926409433,-1.03061823249489,0.613447988513406,-0.699158951124439,-0.158626884608125,0.903052869826046,-1.94349135090176,45226.296315
"Proteus spp.","J01G",4,0,0.0713333333333333,0.630737966586083,-7.69789685963991,0.958558291754776,1.77052926409433,-1.03061823249489,0.613447988513406,-0.699158951124439,-0.158626884608125,0.903052869826046,-1.94349135090176,45226.296315
"Proteus spp.","J01M",4,58.3333333333333,1.61166666666667,0.630737966586083,-7.69789685963991,0.958558291754776,1.77052926409433,-1.03061823249489,0.613447988513406,-0.699158951124439,-0.158626884608125,0.903052869826046,-1.94349135090176,45226.296315
"S. agalactiae","J01A",21630,48.3444536423841,1.88552317880795,-0.632042414025913,-6.01361030957557,0.902644343088522,-0.72937743997177,-0.594725537919547,0.044753861264318,0.453826962267158,0.125942848403875,-0.0358483403691451,-0.0212301679504241,38523.7352017986
"S. agalactiae","J01C",27414,0,7.32522404371585,-0.541727160287631,-6.24069921389902,0.894200365354577,-0.856469970235713,-0.528043236129535,0.0851920422614819,0.389420132937448,0.130240495717922,-0.0258745337899034,-0.0305498359483992,38931.6390481238
"S. agalactiae","J01D",24888,0,2.69858127438231,-0.551311845026482,-6.20659046241627,0.899210710227803,-0.832462829282902,-0.528149491604997,0.0955267470284029,0.392503958838023,0.130684273907419,-0.0171041438038329,-0.0437803091728208,39122.5059059648
"S. agalactiae","J01F",3432,37.0995284014084,2.87448591549296,-0.51991805186265,-6.39604325372226,0.806473346769281,-0.939700253445221,-0.620343940677974,-0.0333996962193124,0.708349556032955,0.0815651490867133,0.0476318366754994,0.0370788081493416,37088.0302617603
"S. agalactiae","J01M",21629,3.84433774834438,1.83835430463576,-0.632042414025913,-6.01361030957557,0.902644343088522,-0.72937743997177,-0.594725537919547,0.044753861264318,0.453826962267158,0.125942848403875,-0.0358483403691451,-0.0212301679504241,38523.7352017986
