"ISO3","Year","PC1","PC2","PC3","GDP"
"SYC",2006,-0.365281648647141,-1.42086623753232,1.95944297923029,21341.85975
"SYC",2007,-0.4246447954015,-1.6090409523534,1.88044139732556,23117.85552
"SYC",2008,-0.53767801137755,-1.76913910917245,1.79161460991049,21990.36853
"SYC",2009,-0.42672794983192,-1.98199189048235,1.78202132468326,21361.13079
"SYC",2010,-0.356026797180428,-2.42528926015217,1.48475496386046,21708.75545
"SYC",2011,-0.298762664391999,-2.52986426722018,1.49802234134206,24406.41298
"SYC",2012,-0.228842193642404,-2.62081290362826,1.46348218153685,24919.95521
"SYC",2013,-0.190139008553161,-2.69414817721518,1.45345094438098,24770.65146
"SYC",2014,-0.10750295564262,-2.7860781310331,1.43300850941904,25379.41807
"SYC",2015,-0.034561526974624,-2.91576256934219,1.42001964446198,27032.20839
"SYC",2016,0.021462688988192,-3.05476444486055,1.42622749701788,29905.13474
"SYC",2017,0.100463904508508,-3.18147317965045,1.4157408276352,31595.66806
"SYC",2018,0.234558717428248,-3.36602639633807,1.35510586194026,32841.42425
"SYC",2019,0.364878825218419,-3.50721493932342,1.34020514802431,34346.07089
"SLE",2001,-6.40010391518442,4.75933073239085,1.59298571807345,1577.932327
"SLE",2002,-6.2095585174276,5.31486911857963,1.76999629703225,1884.535211
"SLE",2003,-6.21578725200462,5.32419643348039,1.77086979501178,1981.068183
"SLE",2004,-6.20970582826601,5.30539213083764,1.76729115647719,2039.299118
"SLE",2005,-6.20844805232845,5.29916351484919,1.7668684299642,2071.608665
"SLE",2006,-6.16876104811661,5.39473604854377,1.82218875396074,2113.188565
"SLE",2007,-6.3975581335366,5.07570248996347,1.2862219021182,2232.184857
"SLE",2008,-6.38830841876027,5.04934454379458,1.28812262388291,2295.483678
"SLE",2009,-6.37627915532475,5.01894496468552,1.28787639250374,2306.197219
"SLE",2010,-6.36091512394075,4.97947751498251,1.28566699505222,2393.244154
"SLE",2011,-6.54794422302612,4.41900742536985,1.11272302769898,2471.718494
"SLE",2012,-6.53053708913483,4.37990522757297,1.1124029480971,2776.253743
"SLE",2013,-6.49340219208144,4.31285775831462,1.11016033422282,3279.867507
"SLE",2014,-6.25921411576753,4.78393655932512,1.27946831754112,3348.445433
"SLE",2015,-6.38803425690562,4.28387022914098,1.15797889616323,2601.305288
"SLE",2016,-6.36462113935358,4.03499013664752,1.09575743976758,2702.02693
"SLE",2017,-6.31938400828575,3.92757021825097,1.09053757493429,2737.362706
"SLE",2018,-6.26060855491649,3.80239826874483,1.08676986462513,2766.717
"SLE",2019,-6.21186565791559,3.7035842347006,1.08355920516334,2851.979233
"SGP",2001,-0.45201556412282,-3.26524911955149,1.85034939204795,65500.31341
"SGP",2002,-0.345041145444281,-3.39830963938998,1.86225929722207,67451.71815
"SGP",2003,-0.216807745427591,-3.57070939015911,1.88551738497909,71567.13333
"SGP",2004,-0.0862932895142817,-3.78885231056251,1.90810131042453,77702.01492
"SGP",2005,0.0144801520036555,-3.96107654866211,1.92039826206811,81487.72956
"SGP",2006,0.0925105287831394,-4.09672551137338,1.92524367579814,86090.43627
"SGP",2007,0.12970566597103,-4.17491600889531,1.92330441575465,90027.3401
"SGP",2008,0.127774404233694,-4.18632240255304,1.9078877046299,86952.46287
"SGP",2009,0.189115617595987,-4.25976750737421,1.85528608895798,84477.12455
"SGP",2010,0.108425223217502,-4.94787881329467,1.69268183206697,95043.96388
"SGP",2011,0.193952236656986,-5.0664551430335,1.69380357385345,98867.94528
"SGP",2012,0.217264872594847,-5.16349418575579,1.74064294506641,100750.848
"SGP",2013,0.313180839080659,-5.4344442325021,1.46505667763233,103908.3585
"SGP",2014,0.342271848013442,-5.56845250689449,1.50928563830402,106604.4928
"SGP",2015,0.419632661357653,-5.69266900973301,1.49676880490032,108483.2101
"SGP",2016,0.564880803243055,-5.85071169320285,1.45367407613582,110927.693
"SGP",2017,0.684096580852613,-6.04321076141751,1.45844272662265,115831.1115
"SGP",2018,0.780202931973536,-6.24740064248157,1.45425908205988,119343.1455
"SGP",2019,0.906704669821017,-6.41368825143342,1.42970937366374,119572.2771
"SVK",2001,-0.662529206035611,-5.17769468757625,0.966530181067667,18889.50268
"SVK",2002,-0.558526359067597,-5.36589851735097,0.952776006491369,19731.07142
"SVK",2003,-0.451139308749936,-5.55869674343175,0.937781804710633,20702.97253
