"region","drug","avertable_burden","lower_bound","upper_bound","avertable_burden_per_100k","lower_bound_per_100k","upper_bound_per_100k"
"Australasia","J01F",0.870824049847867,-1.82789696837496,3.41260648281897,0.00348842306500164,-0.00732234938394242,0.0136705172170194
"Caribbean","J01F",9.40737333111998,2.19119762784381,16.5870806102565,0.0217504431210913,0.00506618773317172,0.0383503812020383
"Central Asia","J01F",9.44112436674931,2.60153276458703,16.9757644825539,0.0104496778454123,0.002879442981385,0.0187892101757535
"Central Europe","J01F",16.3133497187123,0.00756026165244748,31.4852943046458,0.014597119781222,6.76489174945892e-06,0.0281729148358022
"Central Latin America","J01F",29.0741596660818,5.44400837867727,52.5127313129353,0.0115308466324682,0.00215910025952126,0.0208266122899459
"Central Sub-Saharan Africa","J01F",11.2555569038655,-17.6958633904417,40.7713115476783,0.00830451973857198,-0.0130562750534829,0.0300816889299259
"East Asia","J01F",217.800973225341,-210.518346967878,600.943765773102,0.0146083284606822,-0.0141198687681016,0.0403064494469913
"Eastern Europe","J01F",4.49395709776156,-16.1043581529485,24.9504780134552,0.00215205823289639,-0.00771202657137689,0.0119482408166073
"Eastern Sub-Saharan Africa","J01F",12.0902410183069,-63.0660851818707,87.4185968352219,0.00294015554486935,-0.0153366752374839,0.0212588212113052
"High-income Asia Pacific","J01F",96.5404929187011,24.2933442946975,167.945363640683,0.052333258286231,0.0131690840099747,0.0910408454282945
"High-income North America","J01F",44.1840056254786,-24.0957139028539,112.869962437546,0.012085268083189,-0.00659069176842335,0.0308723424978614
"North Africa and Middle East","J01F",69.849591386497,8.18845346135818,128.18122043473,0.0111311347963333,0.00130490067934027,0.0204267829588666
"Oceania","J01F",3.62995201769636,0.157700189252507,7.2993001482852,0.0205509983314201,0.000892820706828416,0.0413250380271257
"South Asia","J01F",340.205588945219,129.168089750107,568.269930892548,0.0187328223512957,0.00711241366212412,0.0312907841872853
"Southeast Asia","J01F",60.37414562371,-6.24207222365693,124.284993108129,0.00919087471250062,-0.000950242908803676,0.0189201484923742
"Southern Latin America","J01F",16.727439150262,4.0854036744155,28.5414567128579,0.0249877318794322,0.00610284519456421,0.0426357113831224
"Southern Sub-Saharan Africa","J01F",14.1610638735757,0.475389514195725,27.8324928497973,0.0172956489377669,0.000580618110307886,0.0339932811327297
"Tropical Latin America","J01F",62.9248632405221,15.2846795447044,105.509527998651,0.0296068736617785,0.00719161795411605,0.0496434494204555
"Western Europe","J01F",40.0800760566589,-6.04862964460177,86.5294700856624,0.00943345852028224,-0.0014236374396156,0.0203660333798065
"Western Sub-Saharan Africa","J01F",69.7513473290496,-33.0897756318645,176.361304030988,0.0159171306083756,-0.00755102662102809,0.040245328843355
"Andean Latin America","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Australasia","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Caribbean","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Central Asia","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Central Europe","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Central Latin America","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Central Sub-Saharan Africa","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"East Asia","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Eastern Europe","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Eastern Sub-Saharan Africa","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"High-income Asia Pacific","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"High-income North America","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"North Africa and Middle East","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Oceania","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"South Asia","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Southeast Asia","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Southern Latin America","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Southern Sub-Saharan Africa","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Tropical Latin America","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Western Europe","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
"Western Sub-Saharan Africa","Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0,0,0,0
