"Antibiotic","Pathogen","Response","Lower_CI","Upper_CI","R_squared","White_test_p_value","RMSE","AIC","BIC","Model_Singular","Bootstrap_Singular_Proportion","Variation_Explained.Consumption","Variation_Explained.PC1","Variation_Explained.PC2","Variation_Explained.PC3","Variation_Explained.GDP","Variation_Explained.Year","VIF.Consumption","VIF.PC1","VIF.PC2","VIF.PC3","VIF.GDP","VIF.Year"
"J01F","S. pneumoniae",0.68389802577237,-0.0293656751286141,1.26868752281672,0.387460555642029,5.5911967329095e-14,1.20499737076609,3311.1722086498,3350.14093900669,FALSE,0,0.531760408235949,0.118416818442607,0.150424261819708,0.131289856102669,0.0387334154022774,0.0293752399967889,1.11222835190901,5.31640646317638,5.81942256697565,1.31514690114293,1.46047060225657,1.23068946165707
"J01F","S. pyogenes",-0.264103845970432,-1.0305114321838,0.640138406328579,0.0674455541592602,0.0190302860624942,1.3739495245778,885.203313793184,913.213379477542,FALSE,0,0.0786045963854715,0.204709726787668,0.525645699620359,0.136719036754937,0.0518594057161107,0.00246153473545421,1.78164217827956,8.6814101264949,10.9152905160835,1.1694042741885,1.79943150026174,1.05303161760202
"J01G","Acinetobacter spp.",0.152798518239349,-0.262868293947181,0.522877077152924,0.388528896724926,1.15157331994011e-09,1.31928741200615,2936.34962733337,2973.38453336087,FALSE,0,0.0394629424028392,0.0584906079535397,0.022170003990907,0.0962919327974955,0.782994141343326,0.000590371511892593,1.36685988478219,13.773653483888,15.4933435509528,1.42907728685088,1.82175849955614,1.20829130232727
"J01G","E. coli",0.206346835290516,-0.0104088641862359,0.323002921099203,0.451526648973557,8.23495946968976e-15,0.907745989564187,2753.83322254934,2793.8431875259,FALSE,0,0.210843711242578,0.0747888253514588,0.00428667059460439,0.0230681419091157,0.236301572708046,0.450711078194197,1.12949728143083,4.07069734902213,4.70375840015472,1.20405584339869,1.34979915301481,1.30161231209864
"J01G","E. faecalis",0.0837894530671668,-0.326220107324834,0.441757628296188,0.238378379431566,6.07938080637934e-06,0.371012583571938,411.76065597796,441.417538095951,FALSE,0,0.0563109130871138,0.0771244208300667,0.0148056169388016,0.059943617217908,0.493167509918722,0.298647922007388,1.1262930604479,3.10206561179162,3.38106252979925,1.6577855046123,1.35798396553967,1.49366908187522
"J01G","E. faecium",0.314018084819144,-0.169325067497224,0.687030190493144,0.223943220873896,0.000392962207137901,0.448851548926035,283.950379262856,310.376818527329,FALSE,0,0.448272027859999,0.00620519458264231,0.0711972400741462,0.183229395095366,0.100650388221374,0.190445754166473,1.2156348907063,3.70496293991604,4.21023303300775,1.29804873776067,1.32076279426501,1.48380348022251
"J01G","K. pneumoniae",0.434703532624277,0.123780180786031,0.722401746029254,0.519469469702127,1.95025194591171e-09,1.20417878461112,3043.95611568844,3082.63759237762,FALSE,0,0.213905655200748,0.0196171780061767,0.0133810103308989,0.0716399090868144,0.664777624588605,0.0166786227867568,1.06466620338612,4.65518374921718,5.13829084202443,1.32454968815978,1.41600191171046,1.14308500532729
"J01G","Morganella spp.",0.284891096138933,-0.0439732010440326,0.547478685139638,0.208595281353977,0.000190995126871559,1.27263612280125,868.141993319072,896.31368066197,FALSE,0,0.133491438364538,0.118271069610669,0.0192328931380539,0.0685977510410804,0.0647793633685207,0.595627484477138,1.06737081394981,9.73510489756947,10.958119906712,1.12956065125339,1.76839745721424,1.02875298381839
"J01G","P. aeruginosa",0.21863080087649,-0.0895003600765578,0.556709974418269,0.435598280371339,1.83564390859705e-13,1.15178881574634,2837.37946994207,2875.77191683854,FALSE,0,0.0605975720714372,0.0576777642197418,0.00172291176176582,0.0524195087783867,0.79658645319534,0.0309957899733283,1.03410002975643,5.33048391526028,5.88490949411748,1.23825460256252,1.37487402551639,1.1231143039207
"J01G","S. aureus",0.0920915027401585,-0.343928969117816,0.460430971585333,0.291248723061875,0.000217688499276663,0.859560537544525,490.476797159376,516.152686382107,FALSE,0,0.0210140593182344,0.323175253416358,0.198714136509596,0.0249150812290226,0.352791813841708,0.0793896556850806,1.1094950760251,8.77788344834573,10.0062374227482,1.11847709066477,1.74017344489921,1.01943451371439
"J01M","Acinetobacter spp.",1.15766916316693,0.575922046351475,1.46412587542406,0.689117703743622,9.17810842732822e-13,1.20242658193032,2096.27902608198,2132.89078263437,FALSE,0,0.624920070368592,0.00474062443361278,0.00776931089736005,0.00257692200467436,0.359971015611065,2.20566846957187e-05,1.32385195365178,6.52166832552776,7.15538459741512,1.63079455286657,1.45467175470236,1.4121298036758
"J01M","E. coli",0.704736411832154,0.403475073726026,0.830885518667272,0.824882380479854,2.95641295577665e-28,0.616411235163576,2968.77064266415,3009.03869453845,FALSE,0,0.843657517314515,0.000168672143581139,0.000996429322714666,0.00490073035506404,0.0710553230367025,0.0792213278274229,1.93001082494657,26.5243502720574,23.5598440572365,2.01018361355262,1.57693959170132,1.1185412717985
"J01M","E. faecalis",0.446788352690582,0.192651099280425,0.65915042379666,0.158664490528745,0.211517811555074,0.904598291870013,1342.06640743578,1376.92914556785,FALSE,0,0.767635121101774,0.00129102201439055,0.00173270242057626,0.00482950549830395,0.0542874696690652,0.17022417929589,1.35089690527887,9.93191425824918,11.7595143375014,1.54478246771307,1.9891692445815,1.21574065332834
"J01M","E. faecium",0.0105878650873934,-0.0762861397316211,0.0807398808691568,0.0634998920890363,0.640321026221458,0.677620852537248,382.128464612537,416.564055031913,FALSE,0,0.0167198487879843,0.0508758673051253,0.246757544541757,0.318195061990803,0.36709808861933,0.000353588755000824,1.18081194985159,8.99718548821493,10.4345190961603,1.28899934693141,1.73508867987605,1.21843025261949
"J01M","Enterococcus spp.",0.834697466114822,-0.0922549576458687,1.32970045790241,0.186948300748902,0.000866011968974117,2.00837486956492,1174.23086732421,1203.28056157878,FALSE,0,0.262793385697821,0.0828399703447035,0.0682957023712298,0.00135756903527329,0.0560981938364042,0.528615178714568,1.14411198882315,22.8719702897154,28.2092390502697,1.56530871137796,2.49500014826756,1.24567634721523
"J01M","K. pneumoniae",0.116812830421794,-0.201773271780862,0.703309179874337,0.602705766123448,1.68730510927284e-192,1.07885582122787,3591.17476925131,3630.14349960819,FALSE,0,0.0168659672995056,0.00776541980175757,0.000132793917739271,0.8688093951461,0.0596774815700157,0.0467489422648815,1.64494858235523,21.1955442309281,19.8029206352806,1.94144775029074,1.42904076746077,1.08113906413914
"J01M","Morganella spp.",0.558654805476611,0.168819228551906,0.997763830588523,0.148988985382483,0.201341589917163,1.30542542620535,815.855968688241,844.027656031139,FALSE,0,0.547682883590098,0.17985668816055,0.0124345975757126,0.0318614171188775,0.0176376932035814,0.21052672035118,1.2374162424475,9.86928374664283,10.956325466264,1.18673141152007,1.78638214344103,1.03132469236025
"J01M","P. aeruginosa",0.631179110177397,0.308528827000144,0.811837324918004,0.645337776405304,1.6085740526426e-06,0.678996555494692,1610.43887630719,1648.83132320366,FALSE,0,0.737625812061999,0.00489050233912694,0.00048007169926742,0.0121872394980261,0.226323798275053,0.0184925761265272,1.44764853036441,5.57890938947074,5.83359339257266,1.35112128151483,1.49045416607813,1.20892032259185
"J01M","S. agalactiae",0.315583137178105,-0.0990422527702672,0.626301268725012,0.147895157634836,2.39515886747841e-14,1.03539876386764,1735.86613947594,1770.78414553075,FALSE,0,0.19022623617821,0.000167676718660574,0.0017620016653211,0.00272488302890062,0.00246843884311341,0.802650763565794,1.23465958422089,8.85312050469656,10.1338577704672,1.5948551947537,1.76339877761673,1.20116369618373
"J01M","S. aureus",0.360810261003186,-0.00753997382550817,0.709290418412857,0.142478515821973,6.90117367101481e-09,1.04412519730172,1910.63575741293,1947.55356221456,FALSE,0,0.860828543717994,0.00394928946989003,0.0684751065136044,0.0300400093109905,0.036642807030198,6.42439573227688e-05,1.29245900370244,8.7544134048263,10.0753943834482,1.35122829359077,1.80385037021167,1.15231524040399
"J01M","S. pneumoniae",0.275718757759545,-0.0602187709786538,0.497890814425352,0.0746383727897397,7.41911330427754e-11,0.572681567948821,1634.65482547557,1671.12040789807,FALSE,0,0.565910656754089,0.113492344622748,0.0904417773686215,0.0902502791599805,0.071666946872954,0.0682379952216068,1.30668702806776,10.6235968829822,12.5725495928233,1.27210558243657,1.71628351034161,1.24626321830984
"J01M","S. pyogenes",0.0546918975772871,-0.0515550632875802,0.149192033232891,0.0714199791786359,0.040872662009222,0.299069922510067,249.486752760317,278.002916018898,FALSE,0,0.111706285817738,0.0746343589776193,0.00467299037368592,0.391500773009099,0.219377522375332,0.198108069446526,1.38560063224863,9.46972349292044,11.6040696833487,1.21810171016211,1.91480706779099,1.03111084738739
"J01M","Salmonella spp.",0.786365689802434,-0.525983467482456,1.41670718970496,0.800395548559368,0.737980703338729,0.849034774377843,81.7956408526372,93.0052199059345,FALSE,0,0.620140807852821,0.219165591259655,0.123993339713938,0.00884294367162825,0.0275153884326551,0.000341929069302346,1.11732530711651,58.8422295514987,55.7186774593679,2.00288458601739,2.80508069389687,1.08389090817218
